Setup,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,G1,G2
Math/Binary/A,0.0011786727,6.5912565e-05,-0.00035484156,-0.00036488517,4.6169436e-05,0.0022382832,-0.00030965594,-0.000719364,-0.0004489533,-7.606915e-05,-0.0006867678,0.0002899561,0.00069429365,-4.7205966e-05,-0.00017268569,-0.00013651804,0.00011185051,-0.0002662284,-0.00011562599,0.00012508815,-0.0002696109,0.00022173561,7.824599e-05,-4.666927e-05,0.00011634957,-4.296232e-05,-3.130733e-05,-0.0004152088,-1.9749354e-05,-4.081417e-06,3.7821774e-05,7.591128e-05,-0.00018442755,-4.7802572e-05,-5.3558953e-05,-0.000105470805,0.000458307,-5.150698e-05,-1.7221266e-05,-0.0015948542,0.004754517
Portugese/Binary/A,-0.0011060961,1.0345242e-05,-0.00042477282,-0.00026005728,-1.2689297e-05,-0.00041956158,-0.0008366512,0.0001527813,-0.00035957515,-0.0003001771,0.00014981037,7.573693e-05,0.00091015466,0.0009267432,-0.00024658375,-9.495859e-05,-0.0007633221,-0.00015277258,-9.6821444e-05,-0.00014479789,-0.00031781182,-7.192046e-05,0.00011171224,-0.00014180799,-0.00026360629,5.2012932e-05,-8.805628e-05,-1.0030361e-05,-0.00029906898,-0.00015395076,-3.9165894e-05,-0.00010205438,-0.00045595536,0.00027719839,2.2268141e-05,3.429375e-05,0.0003384617,-0.00018431738,-8.728546e-05,-0.0013826574,0.00061609334
Math/Binary/B,0.0034342324,0.00064008444,0.00061819213,-0.00044176588,0.0001690162,-0.004488166,-5.020975e-05,-0.0019105019,-0.0009834009,-5.8882313e-05,-0.002175448,0.0003695042,-0.0041812095,-0.00021078238,-0.00041913523,0.000676147,-0.0001686374,-4.65052e-06,-0.00020998341,0.00017909231,-0.00010739796,0.00019829124,0.0006040526,-4.231624e-05,-0.00020435343,-7.720837e-05,9.324502e-05,-0.00037531267,0.00033821026,-5.841613e-05,-0.0004062641,-0.0021612127,-0.00014724777,-0.00026739214,0.00027809723,-0.00019458395,-2.2635351e-05,-0.00028210823,-0.0005837841,0.008900004,0
Portugese/Binary/B,-0.00062740076,-0.00044422183,-0.00039127987,-0.0005226048,-0.00064446934,0.0018745126,0.00067452935,-0.00027340662,-5.005508e-05,-0.00018196479,-0.0001399982,-0.00015655546,-0.00020317288,-0.00012821493,-2.2327755e-05,-0.00014288933,-0.00020486604,-0.00017508387,-4.9607926e-05,-0.00028620823,-0.00013859797,-0.00021063485,5.7811612e-05,-0.00019961456,-6.1051105e-05,7.144909e-05,-3.499455e-05,0.00023947345,-0.00044221984,-0.00033021905,-0.00018776163,-0.00010876491,-0.00026478452,0.00025700734,-0.00023335259,-0.0002584025,0.0010816007,-0.00012046168,-0.00013321874,0.0010785616,0
Portugese/Binary/C,-0.0008373965,-0.001008369,-0.00042344508,-0.0010902369,-0.0009457857,0.002290336,0.0007440482,-0.00041977968,-0.00034131005,-0.00045677557,-0.00028152773,-0.0005587185,-0.00032866775,0.0010353777,-0.00015001361,-0.000110012596,-0.00043515285,-0.00023607744,3.0624353e-05,-0.000431929,-0.0002803316,-0.00034533005,0.00010658945,-0.00042891534,-0.00030074184,-6.467075e-07,-0.00022709365,0.00031621128,-0.00060552056,-0.00057537627,-0.00023449594,5.113305e-06,-0.00043344568,0.00044469276,-0.0003353793,-0.00043084967,0.001185039,-0.0002213679,-0.00030540282,0,0
Math/5level/A,-2.2584572e-09,-4.3655746e-11,-1.5366822e-09,-1.8888386e-09,8.731149e-11,2.2628228e-10,1.8859283e-09,4.0745362e-11,-8.1490725e-10,3.5652192e-10,7.4214766e-11,-3.0559022e-10,-1.5570549e-10,-1.891749e-10,4.3655746e-11,3.7107383e-11,-8.440111e-11,-8.58563e-11,-1.6589183e-10,3.428795e-11,-2.561137e-10,-4.0745363e-10,1.4551915e-11,3.1141098e-10,2.910383e-11,-3.405148e-10,8.236384e-10,6.111804e-11,-2.6193447e-11,1.1350494e-10,7.694325e-11,-8.130883e-11,1.3969839e-10,-5.2968974e-10,2.6193447e-11,1.4551915e-10,6.8803276e-11,-1.2332749e-10,2.0372681e-10,-1.0477379e-09,4.0978194e-09
Portugese/5level/A,-3.9217413e-10,3.0267983e-10,6.752089e-10,2.910383e-11,2.1245797e-10,1.5279511e-10,-9.313226e-11,-2.7008356e-09,5.820766e-10,-6.5992933e-10,-8.9639796e-10,-5.47152e-10,-4.773028e-10,-7.392373e-10,1.546141e-11,-2.1100278e-11,-6.664777e-10,-1.5861587e-10,4.0017768e-12,3.5506673e-10,-3.5215636e-10,-1.1641532e-11,-5.820766e-11,1.3038516e-09,4.4237822e-10,4.6929925e-11,-3.4633557e-10,-1.5344994e-09,4.773028e-10,-5.2386893e-11,-6.15546e-10,-1.1641532e-11,-1.6007107e-10,-2.8594513e-10,1.8262654e-10,4.9476513e-11,9.094947e-12,2.764864e-10,-1.4988473e-10,2.8871e-09,-8.754432e-09
Maths/5level/B,-7.566996e-10,8.4983187e-10,-6.2864275e-10,-1.36788e-10,1.2514648e-10,5.995389e-10,-7.712515e-10,5.704351e-10,-5.122274e-10,2.1536835e-09,1.1554221e-09,-2.5465852e-10,4.1094608e-09,5.878974e-10,1.6007107e-11,3.07773e-10,-5.820766e-11,-1.4406396e-10,6.1299944e-11,-3.3760444e-10,-6.693881e-10,3.3760444e-10,-1.1641532e-11,1.1496013e-10,-1.06228984e-10,1.4842953e-10,1.193257e-10,-2.7066563e-10,0.0,-1.7462298e-10,-2.7939678e-10,-2.5620467e-10,-2.910383e-10,6.2864275e-10,4.3764886e-10,1.10594554e-10,-8.076313e-11,-2.561137e-10,-1.5541446e-09,-2.3283064e-10,0
Portugese/5level/B,4.2200556e-11,-2.6557245e-10,2.1827873e-10,4.1909515e-10,-1.1234078e-09,1.3842509e-10,1.5133991e-10,9.429642e-10,-1.9208528e-09,1.695298e-10,1.3969839e-10,-7.1013345e-10,4.307367e-10,-2.0954757e-10,3.8417056e-10,1.8626452e-10,6.5629135e-10,5.529728e-10,-5.6024872e-11,4.0454323e-10,7.079507e-10,-2.0649167e-09,-1.2281817e-09,1.9099388e-12,2.1827874e-12,1.3969839e-10,3.1141098e-10,-2.2409949e-10,4.1909515e-10,5.820766e-10,-2.1100278e-11,2.9976946e-10,8.7311495e-12,3.5215636e-10,4.656613e-11,1.4697435e-10,2.8157957e-10,1.5716069e-10,1.8262654e-09,1.8975697e-09,0
Maths/5level/C,-5.762558e-10,-9.0803953e-10,-2.910383e-12,3.608875e-10,-2.561137e-10,-1.0477379e-09,1.2696547e-10,1.2340025e-09,3.0559022e-10,1.8277205e-09,4.0745363e-10,-1.0477379e-10,-8.1490724e-11,-1.9936124e-10,9.313226e-11,8.1490724e-11,-4.656613e-11,-2.9685907e-10,1.1641532e-10,-4.656613e-11,3.4924597e-10,0.0,9.749783e-11,-6.402843e-11,-1.9208528e-10,-4.8894433e-10,9.677024e-11,2.3283065e-11,-2.4447216e-10,-2.7066563e-10,-1.2660166e-10,-5.122274e-10,5.5297277e-11,-2.0372681e-10,-1.4260877e-10,2.3283065e-11,6.1700123e-10,-7.5669956e-11,3.8999132e-10,0,0
Portugese/5level/C,4.1909515e-10,2.3283064e-10,2.1100277e-10,-8.1490724e-11,2.1536835e-10,-9.546056e-10,3.0267983e-10,1.3533281e-10,-9.313226e-11,-1.8044374e-10,-6.752089e-10,-6.1409083e-10,-1.2107193e-09,-6.490154e-10,3.259629e-10,-1.2223608e-10,-2.3283065e-11,-2.9831426e-11,0.0,-7.5669956e-11,-4.5401977e-10,-2.3283064e-10,-1.3387762e-10,4.802132e-11,1.3169484e-10,-4.656613e-11,-1.5133991e-10,-2.233719e-10,-1.1641532e-10,2.4738257e-11,1.5133991e-10,2.4447216e-10,-2.4738257e-11,1.0477379e-10,2.8230715e-10,7.2759576e-11,-1.1175871e-09,-4.1909515e-10,7.5669956e-11,0,0
Math/regression/A,0.0017842128,0.0006280464,-0.0018754551,-0.000840732,-0.0025600127,0.0015628177,0.0028797803,0.002336224,-0.0034057351,-0.0012098533,0.0021613454,0.003075652,0.037158646,-0.0008339904,0.000799759,0.0003897708,-0.00024131441,-0.0007531824,-0.0006250425,0.00082289585,0.00092562044,-0.0010769697,-0.0017476291,-0.0013917829,-0.0020161115,-0.0008178559,-0.00018228262,0.0001986507,-0.00049104047,0.0027589505,0.0014810249,0.0030954862,0.00015969583,0.008171935,0.00051090657,-0.0010696038,-0.00038546827,-0.00046924848,-0.00017872501,0.021012831,-0.006872303
Portugese/regression/A,0.010327361,-0.0035925573,-0.00063193485,-0.0015770051,0.00032038253,0.0043522273,-0.0020170421,-0.0032255806,-0.0013495088,0.00039379433,0.00071316975,-0.0004196191,0.0054636626,0.0059702536,0.00020291196,-0.00023626056,-0.0013089022,0.00015680825,-0.00021252176,-0.0007948944,0.000150973,-0.0016536051,0.0009159624,0.00023704684,-0.0005616287,-0.00039335643,-0.00073340064,-0.0007711542,-0.0009873299,-6.973871e-05,-0.0006006939,0.0006690468,0.0018960353,0.00076993863,-0.00014239096,-0.00093478634,-0.0008247082,-0.00045724623,0.0011216891,0.0008663443,-0.024404956
Math/regression/B,0.007388786,0.0053865477,-0.0025630638,0.0048755533,-0.0019413996,-0.01993929,0.0019562691,0.0021087863,0.0005599358,-3.7577633e-05,-0.00017461365,0.0021506192,0.0258016,9.342726e-05,0.00028572028,0.00064199924,0.0017252289,-0.0014414204,-0.0018135534,0.0002866789,-0.000271708,0.0011521281,-0.00062281475,-7.910543e-05,-0.00064376794,-0.002878535,-0.0014966594,-0.0012499918,0.0018984642,-0.00029266241,0.00095807534,0.0038201017,0.000792782,0.009841496,-0.004543604,-0.0005870943,0.00032826944,4.7538477e-05,0.00095717085,0.09053539,0
Portugese/regression/B,0.022213109,0.003156319,0.005133128,0.0020726572,0.0007945215,0.027652517,-0.0008438778,-0.0046926728,0.0025251885,-0.0013620075,0.0020751841,-0.005278591,-0.013697457,0.000990889,0.0016890209,-0.0018499873,0.0027826913,-0.00014878667,0.0016632407,-0.0027741746,0.002255055,-0.0022314494,0.0003677395,0.0017997503,0.0016675738,-0.0018137831,-0.0035069182,-9.8430255e-06,-0.0025192697,0.0019194742,-0.0005330779,0.001407268,0.0011790186,0.00018765133,0.0016605764,-0.0021785377,-0.00068750593,-0.0039345305,-0.0003828308,-0.04508052,0
Math/regression/C,-0.00075156766,-0.013785095,-0.007895308,-0.0045667402,-0.0059816684,0.11704662,-0.0031333126,-0.0077350535,-0.010002512,-0.00013472114,-0.0027968155,-0.0076058772,0.0075787483,-0.003769185,-0.0034127757,0.0041700806,-0.0023106139,-0.0031711801,-0.004982874,-0.0012474331,-0.0031671466,0.0014293793,0.00023241136,6.834759e-05,-0.0007752842,-0.0054759015,-0.003565072,-0.0018406004,0.0074533597,-0.0020353596,-0.0154,0.0057724477,-0.0020554364,0.0010207026,-0.0038299689,-0.0036893084,-0.0085212635,-0.0005897839,-0.0026968634,0,0
Portugese/regression/C,0.005571846,-0.011952799,0.0026500188,-0.00626666,-0.00958133,0.047201417,0.0013283445,0.000127215,0.0013181334,-0.0041322685,-0.002408045,-0.0050926856,-0.019272273,-0.00049326074,-0.0014574183,-0.007617141,0.0004599929,-0.00036151952,-0.0022123184,-0.0008718866,0.0005042635,-0.0052207396,8.55841e-05,0.001338973,-0.0013533321,-0.0076131443,-0.0020486661,0.0042573866,-0.0042336695,0.0002360603,-0.0015152289,0.008604953,-0.0022929031,0.0008371654,0.000712295,-0.00025765836,-0.009028405,-0.0009229836,0.0012213652,0,0
